iter	Passed	Remaining
603	32832	21526
604	32876	21464
605	32926	21407
606	32980	21353
607	33034	21298
608	33075	21235
609	33122	21176
610	33182	21125
611	33236	21071
612	33288	21015
613	33337	20958
614	33386	20900
615	33441	20846
616	33487	20787
617	33534	20728
618	33580	20668
619	33623	20608
620	33686	20559
621	33739	20503
622	33792	20449
623	33844	20393
624	33891	20334
625	33934	20273
626	33987	20219
627	34058	20174
628	34100	20113
629	34152	20057
630	34196	19997
631	34248	19942
632	34297	19885
633	34345	19826
634	34393	19769
635	34452	19717
636	34502	19661
637	34548	19602
638	34606	19550
639	34653	19492
640	34698	19433
641	34741	19373
642	34785	19313
643	34833	19255
644	34878	19196
645	34928	19140
646	34973	19081
647	35020	19023
648	35069	18966
649	35117	18909
650	35174	18857
651	35221	18799
652	35272	18743
653	35324	18688
654	35376	18633
655	35438	18583
656	35489	18527
657	35539	18471
658	35592	18417
659	35638	18359
660	35682	18299
661	35737	18246
662	35788	18191
663	35840	18135
664	35892	18081
665	35937	18022
666	35984	17965
667	36034	17909
668	36074	17848
669	36130	17795
670	36180	17739
671	36224	17681
672	36264	17620
673	36324	17569
674	36379	17516
675	36430	17460
676	36474	17402
677	36528	17348
678	36585	17295
679	36631	17238
680	36694	17188
681	36759	17140
682	36817	17088
683	36864	17030
684	36914	16975
685	36958	16917
686	37015	16864
687	37067	16809
688	37115	16753
689	37166	16698
690	37210	16639
691	37256	16582
692	37310	16528
693	37356	16471
694	37414	16419
695	37469	16366
696	37523	16312
697	37582	16260
698	37626	16202
699	37672	16145
700	37723	16090
701	37765	16031
702	37814	15975
703	37863	15920
704	37916	15865
705	37970	15811
706	38026	15759
707	38083	15706
708	38131	15650
709	38177	15593
710	38227	15538
711	38278	15483
712	38333	15430
713	38389	15377
714	38436	15320
715	38488	15266
716	38532	15208
717	38584	15154
718	38633	15098
719	38681	15042
720	38735	14989
721	38791	14936
722	38847	14883
723	38896	14828
724	38951	14774
725	39004	14720
726	39055	14665
727	39106	14611
728	39152	14554
729	39198	14498
730	39243	14441
731	39287	14383
732	39346	14332
733	39394	14276
734	39446	14222
735	39500	14168
736	39556	14115
737	39609	14061
738	39659	14007
739	39725	13957
740	39783	13905
741	39834	13850
742	39893	13799
743	39947	13745
744	40006	13693
745	40054	13637
746	40108	13584
747	40164	13531
748	40217	13477
749	40275	13425
750	40327	13370
751	40379	13316
752	40426	13260
753	40473	13204
754	40528	13151
755	40577	13096
756	40631	13042
757	40681	12987
758	40735	12934
759	40787	12880
760	40848	12829
761	40905	12776
762	40953	12720
763	41000	12665
764	41050	12610
765	41101	12555
766	41154	12501
767	41206	12447
768	41261	12394
769	41321	12342
770	41379	12290
771	41426	12234
772	41480	12181
773	41532	12127
774	41584	12073
775	41634	12018
776	41688	11964
777	41737	11909
778	41801	11858
779	41852	11804
780	41903	11750
781	41946	11693
782	41987	11636
783	42038	11581
784	42090	11527
785	42139	11473
786	42189	11418
787	42240	11364
788	42291	11309
789	42344	11256
790	42392	11201
791	42444	11147
792	42499	11093
793	42551	11039
794	42607	10986
795	42671	10935
796	42725	10882
797	42779	10828
798	42840	10777
799	42893	10723
800	42946	10669
801	43009	10618
802	43072	10567
803	43129	10514
804	43182	10460
805	43222	10403
806	43274	10349
807	43333	10297
808	43391	10244
809	43456	10193
810	43509	10139
811	43556	10084
812	43597	10027
813	43651	9974
814	43701	9919
815	43753	9866
816	43809	9812
817	43853	9757
818	43909	9703
819	43974	9652
820	44029	9599
821	44079	9545
822	44125	9489
823	44178	9436
824	44234	9383
825	44280	9327
826	44334	9274
827	44383	9219
828	44428	9164
829	44480	9110
830	44530	9056
831	44584	9002
832	44635	8948
833	44689	8895
834	44737	8840
835	44787	8786
836	44840	8732
837	44885	8677
838	44926	8621
839	44983	8568
840	45033	8514
841	45074	8458
842	45125	8404
843	45180	8350
844	45232	8297
845	45289	8244
846	45338	8189
847	45380	8134
848	45427	8079
849	45475	8025
850	45529	7971
851	45592	7919
852	45639	7865
853	45688	7810
854	45735	7756
855	45777	7700
856	45821	7645
857	45875	7592
858	45925	7538
859	45970	7483
860	46021	7429
861	46068	7375
862	46127	7322
863	46183	7269
864	46236	7216
865	46282	7161
866	46336	7108
867	46391	7054
868	46447	7001
869	46500	6948
870	46548	6894
871	46594	6839
872	46648	6786
873	46703	6733
874	46748	6678
875	46798	6624
876	46853	6571
877	46908	6518
878	46956	6463
879	47006	6409
880	47057	6356
881	47108	6302
882	47153	6248
883	47206	6194
884	47260	6141
885	47302	6086
886	47365	6034
887	47416	5980
888	47464	5926
889	47518	5873
890	47570	5819
891	47620	5765
892	47664	5711
893	47712	5657
894	47780	5605
895	47892	5558
896	48011	5513
897	48079	5461
898	48131	5407
899	48190	5354
900	48239	5300
901	48282	5245
902	48329	5191
903	48370	5136
904	48418	5082
905	48468	5028
906	48516	4974
907	48567	4920
908	48621	4867
909	48669	4813
910	48726	4760
911	48787	4707
912	48846	4654
913	48920	4603
914	48982	4550
915	49035	4496
916	49085	4442
917	49145	4389
918	49208	4337
919	49264	4283
